violent _event_name,ve_date,POINT_X,POINT_Y,ve_part,Kreise
Kiel Mutiny,10.7.1918,54.3233,10.1228,40000.00,Kiel
Wittelsbach Workers Strike,11.7.1918,48.1418,11.5795,100000.00,MunchenL
Skirmish of the Berlin Schloss,12.24.1918,52.5173,13.4011,1800.00,BerlinMitteBal
First Battle of Berlin,1.10.1919,52.5219,13.4132,5000.00,BerlinMitteBal
Bremen Soviet Republic,2.4.1919,53.0793,8.8017,1000.00,BremenL
Second Battle of Berlin,3.3.1919,52.5219,13.4132,25000.00,BerlinMitteBal
Battle for Munich,5.1.1919,48.1418,11.5795,50000.00,MunchenL
Suppression of Dresden Communists,4.14.1919,51.0504,13.7373,7000.00,DresdenL
Suppression of Brunswick Communists,4.18.1919,52.2689,10.5268,2500.00,BraunschweigS
Suppression of Leipzig Communists,5.10.1919,51.3397,12.3731,50000.00,LeipzigL
First Silesian Civil War,8.26.1919,50.5717,19.322,200000.00,BreslauL
Kapp Putsch,3.17.1920,52.5219,13.4132,6000.00,BerlinMitteBal
Ruhr Uprising,4.8.1920,51.3671,7.4633,80000.00,Dortmund
March Action,4.1.1921,51.4874,11.6755,200000.00,MansfelderSeekre
Hamburg Uprising,10.25.1923,53.5511,9.9937,11000.00,Hamburg
Beer Hall Putsch,11.8.1923,48.1374,11.5754,2200.00,MunchenL
